data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,sort
0.056868,-0.37536,-0.040994,0.00052066,-0.001111,-7.68E-05,-0.060124,-0.20639,0.15935,-0.014002,-0.020155,-0.0017681,6
0.070268,-0.37367,-0.036559,0.00050201,-0.00099707,-7.75E-05,-0.058613,-0.20349,0.15978,-0.014028,-0.020234,-0.0018029,6
0.070268,-0.37367,-0.04221,0.00048459,-0.0010431,-7.71E-05,-0.058617,-0.20349,0.16051,-0.013959,-0.020186,-0.0017866,6
0.031887,-0.36975,-0.036066,0.00051069,-0.0010603,-7.77E-05,-0.040768,-0.20326,0.15748,-0.014473,-0.020347,-0.0018012,6
0.056862,-0.37182,-0.037361,0.00051549,-0.0011073,-7.74E-05,-0.060106,-0.20326,0.15913,-0.014319,-0.020288,-0.0017884,6
0.056863,-0.37345,-0.045116,0.00051081,-0.0010564,-7.58E-05,-0.060107,-0.20473,0.15847,-0.013205,-0.019884,-0.0017422,6
0.056869,-0.36808,-0.037155,0.00049354,-0.0010355,-7.73E-05,-0.060125,-0.20196,0.15649,-0.0141,-0.020228,-0.0017926,6
0.056864,-0.37382,-0.038939,0.00050794,-0.0010537,-7.70E-05,-0.060113,-0.20246,0.16273,-0.013925,-0.020162,-0.0017804,6
0.056865,-0.37411,-0.034119,0.00049076,-0.0011229,-7.70E-05,-0.060115,-0.20376,0.15706,-0.014137,-0.020222,-0.0017776,6
0.056864,-0.37411,-0.034119,0.00049077,-0.0011228,-7.70E-05,-0.06011,-0.20376,0.15705,-0.014137,-0.020221,-0.0017776,6
0.056864,-0.37013,-0.035066,0.00050843,-0.0010758,-7.84E-05,-0.06011,-0.19963,0.15968,-0.014855,-0.0205,-0.0018216,6
0.05686,-0.36732,-0.033605,0.00051535,-0.0010987,-7.69E-05,-0.0601,-0.20447,0.15637,-0.014048,-0.020183,-0.0017748,6
0.056865,-0.37013,-0.032446,0.00049883,-0.0010248,-7.77E-05,-0.060112,-0.19964,0.15747,-0.01423,-0.020301,-0.0018065,6
0.045289,-0.3691,-0.037865,0.00050055,-0.0010025,-7.77E-05,-0.039267,-0.20244,0.16117,-0.014157,-0.020275,-0.0018061,6
0.02184,-0.0092101,-0.032399,0.021637,0.0053731,-0.00075921,-0.013523,0.003294,0.25305,-0.034304,-0.20248,-0.020408,6
0.026958,-0.0048885,-0.027162,0.0058684,0.0043525,-0.00077262,-0.028534,0.0020436,0.25159,-0.03136,-0.20058,-0.020609,6
0.026965,-0.0022272,-0.021651,0.021843,0.0025585,-0.00078335,-0.028413,-0.00058819,0.24918,-0.031786,-0.19755,-0.020745,6
0.051238,-0.0064931,-0.032695,0.020477,0.0077817,-0.00079206,-0.029349,0.0050761,0.25266,-0.031946,-0.20423,-0.020987,6
0.0078513,-0.010365,-0.029045,0.01979,-0.0041073,-0.00078803,-0.013577,0.0057891,0.2483,-0.031913,-0.20088,-0.020885,6
0.0090059,-0.0075075,-0.026134,0.021139,0.0069782,-0.00077158,-0.023635,0.0041856,0.25016,-0.04258,-0.20467,-0.020654,6
0.038744,-0.010035,-0.029428,0.017924,0.0073898,-0.00077619,-0.025128,0.0049462,0.24969,-0.004273,-0.20584,-0.020755,6
0.031213,-0.0048836,-0.029713,0.021442,0.0036312,-0.00076946,-0.012388,0.0030455,0.24925,-0.0033312,-0.20503,-0.020644,6
0.031209,-0.0027195,-0.022971,0.020409,0.0046224,-0.00077915,-0.012455,0.003181,0.25022,-0.0038398,-0.20124,-0.020737,6
0.051241,-0.00081599,-0.027221,0.017898,0.0043215,-0.00080492,-0.029375,0.0024516,0.24803,-0.0026621,-0.20255,-0.02116,6
0.011589,-0.0089205,-0.02206,0.017982,-0.0041718,-0.00079239,0.0031586,0.007138,0.24773,-0.002594,-0.20126,-0.020952,6
0.020575,-0.0063602,-0.025684,0.034142,0.0037796,-0.00075377,-0.02127,0.0036833,0.24762,-0.013646,-0.2,-0.020293,6
0.054484,-0.0041558,-0.02158,0.032751,0.0067402,-0.00077437,-0.030732,0.001136,0.2488,-0.0148,-0.20669,-0.020739,6
0.01157,-0.00698,-0.032859,0.033515,0.0023865,-0.00076216,0.0028587,0.0021179,0.25593,-0.014652,-0.20355,-0.020513,6
0.054473,-0.005497,-0.027448,0.020896,0.0047148,-0.00076151,-0.030617,0.0024389,0.25078,-0.0062131,-0.20491,-0.020519,6
0.054473,-0.0067037,-0.02975,0.017938,0.0063536,-0.00077572,-0.030618,0.0048442,0.24926,-0.0025012,-0.20739,-0.020763,6
0.011572,-0.0083021,-0.02406,0.036741,0.0063524,-0.00077493,0.0028868,2.74E-05,0.2497,-0.01454,-0.20259,-0.020682,6
0.0044197,-0.012269,-0.023887,0.024634,0.0045241,-0.00076925,-0.0089285,0.0068689,0.24646,-0.03427,-0.19797,-0.020503,6
0.0073366,-0.008718,-0.024905,0.022097,0.0068584,-0.00076535,-0.033698,0.0053452,0.24972,-0.031867,-0.20352,-0.020529,6
0.0050792,-0.006696,-0.02481,0.021641,0.0048946,-0.00075965,-0.031967,0.0071458,0.24586,-0.038689,-0.20476,-0.020462,6
0.0073371,-0.0085628,-0.024682,0.035187,0.0052079,-0.00076895,-0.033759,0.0040008,0.24774,-0.042457,-0.19664,-0.020487,6
0.029281,-0.011419,-0.026423,0.0042803,0.0057564,-0.00077501,-0.029679,0.0071986,0.24859,-0.022803,-0.20522,-0.020756,6
0.021831,-0.0098517,-0.027715,0.0094147,0.0070236,-0.00078861,-0.013604,0.0068784,0.2513,-0.022413,-0.20191,-0.020905,6
0.019433,-0.013322,-0.028321,0.016555,0.006563,-0.00077244,-0.022594,0.0098016,0.25197,-0.027009,-0.19935,-0.020587,6
-0.0062775,-0.0056874,-0.026511,0.023278,0.0056144,-0.00076205,-0.013041,0.0025637,0.25004,-0.033425,-0.1993,-0.020407,6
0.025039,-0.011989,-0.029562,0.0066608,0.0074424,-0.00077862,-0.014648,0.0044977,0.24985,-0.03236,-0.19857,-0.020641,6
0.0019847,-0.0089512,-0.020465,0.018709,0.0073032,-0.00077239,-0.028444,0.0034568,0.24747,-0.035809,-0.19723,-0.020532,6
0.0041838,-0.011317,-0.023974,0.024867,0.0078846,-0.00077005,-0.02275,0.0083018,0.24801,-0.034081,-0.19571,-0.020443,6
0.037152,-0.0073004,-0.022652,0.0091929,0.0072576,-0.00076692,-0.024567,0.0039699,0.24731,-0.033362,-0.20324,-0.02052,6
-0.0062775,-0.011483,-0.020834,0.034827,0.0079123,-0.0007925,-0.013053,0.0056912,0.24854,-0.041758,-0.20162,-0.020957,6
0.015791,-0.006718,-0.024159,0.022882,0.0054478,-0.00078299,-0.031496,0.0061379,0.24845,-0.036019,-0.20308,-0.020831,6
0.020575,-0.011589,-0.020356,0.01917,0.0046278,-0.00077727,-0.021387,0.006838,0.2463,-0.029344,-0.2005,-0.020692,6
0.019433,-0.0066455,-0.026277,0.0085008,0.0043992,-0.00075713,-0.022724,0.0043176,0.25181,-0.034145,-0.2038,-0.020415,6
-0.0062773,-0.0064115,-0.030726,0.018706,0.0057639,-0.00076604,-0.01317,0.0030058,0.24941,-0.0039087,-0.1961,-0.020418,6
0.04062,-0.0073807,-0.024987,0.039737,0.0032024,-0.0007655,-0.019865,0.0039084,0.2478,-0.016769,-0.20405,-0.020553,6
-0.0010085,-0.0084318,-0.022427,0.020025,0.0062005,-0.00077221,0.0044585,0.0020853,0.24867,-0.0051333,-0.20208,-0.020625,6
0.0044181,-0.0073575,-0.029346,0.017643,0.0034701,-0.00075064,-0.0089581,0.0038692,0.24763,-0.0027222,-0.20284,-0.020309,6
0.020574,-0.007141,-0.02782,0.015701,0.0054952,-0.0007879,-0.021741,0.0028937,0.25412,-0.00022029,-0.20305,-0.02091,6
0.031219,-0.0043377,-0.030785,0.020845,0.0044955,-0.00076878,-0.012286,0.0022376,0.25039,-0.0023331,-0.2038,-0.020605,6
0.054466,-0.006565,-0.030991,0.03579,-0.0048429,-0.0007873,-0.030535,0.0071239,0.25343,-0.015366,-0.19992,-0.020856,6
0.011578,-0.0087338,-0.027163,0.021399,0.0043989,-0.00076953,0.0029722,0.0051531,0.25223,-0.0064729,-0.19947,-0.020548,6
0.054469,-0.0042722,-0.026633,0.017692,0.0034961,-0.00076804,-0.030562,0.00254,0.24608,-0.0039692,-0.20478,-0.020616,6
0.012909,-0.0041203,-0.029489,0.017965,0.0066403,-0.00077811,0.0038744,0.0016214,0.2499,-0.0025894,-0.20343,-0.020745,6
0.011572,-0.0068978,-0.031615,0.017787,0.0042418,-0.00077247,0.0028793,0.0024203,0.24944,-0.002304,-0.20465,-0.020713,6
0.011569,-0.01345,-0.025639,0.018357,0.0065839,-0.00077119,0.0028243,0.0051087,0.24936,-0.0032146,-0.20568,-0.020658,6
0.0044184,-0.0074246,-0.024775,0.021162,-0.0040745,-0.0007932,-0.0089419,0.0026249,0.24816,-0.0065408,-0.20062,-0.020954,6
0.011582,-0.0098572,-0.021305,0.018444,0.0062696,-0.00078017,0.0030371,0.0035858,0.24799,-0.0028808,-0.20233,-0.020753,6
0.0031678,-0.0061671,-0.025739,0.03336,0.0030625,-0.00076463,0.0013521,0.0054968,0.24912,-0.014807,-0.20395,-0.02055,6
0.012906,-0.003779,-0.029343,0.019274,0.00493,-0.00077556,0.0038334,0.0013194,0.25166,-0.0016552,-0.20104,-0.020664,6
0.051239,-0.0087071,-0.025034,0.021825,0.002027,-0.00077306,-0.029404,0.0079028,0.24963,-0.0034325,-0.19554,-0.020523,6
0.020574,-0.00821,-0.025351,0.020966,0.0065426,-0.00077885,-0.021536,0.0075787,0.24826,-0.00094489,-0.20398,-0.020764,6
0.051242,-0.0075253,-0.025642,0.029465,0.0063135,-0.00078058,-0.029355,0.0069412,0.25157,-0.0088252,-0.20238,-0.020772,6
0.031214,-0.0028592,-0.025269,0.035482,0.0044367,-0.00077642,-0.012365,0.0036741,0.24825,-0.014178,-0.20499,-0.020748,6
0.011572,-0.0052937,-0.02244,0.0185,0.0037085,-0.00079522,0.0028784,0.0028976,0.24908,-0.0032105,-0.20082,-0.021002,6
0.040153,-0.0074184,-0.034856,0.018592,0.0057612,-0.00077376,-0.019996,0.0038777,0.25501,-0.0046835,-0.20456,-0.020712,6
0.015199,-0.0037354,-0.029301,0.02204,0.0057864,-0.00077745,-0.0080548,0.00069201,0.25058,-0.0038928,-0.20317,-0.020713,6
0.020575,-0.0050756,-0.027156,0.036623,0.005169,-0.00078096,-0.021434,0.0039708,0.25112,-0.014721,-0.2018,-0.020775,6
0.0044191,-0.011597,-0.030773,0.017269,0.0082524,-0.00075825,-0.0088725,0.0073314,0.25168,-0.0041491,-0.20847,-0.020522,6
0.020575,-0.0048988,-0.02443,0.019249,0.0024712,-0.00077558,-0.021628,0.004304,0.24965,-0.00083686,-0.1962,-0.020594,6
0.011567,-0.0073852,-0.027563,0.018007,0.0040201,-0.00076731,0.0028071,0.00077237,0.25218,-0.0024972,-0.20327,-0.020591,6
0.054469,-0.0079426,-0.023787,0.0080363,0.0047038,-0.00078457,-0.030565,0.0027978,0.2489,0.0041382,-0.2055,-0.020885,6
0.031218,-0.0059595,-0.026591,0.027592,0.0084058,-0.00077458,-0.01229,0.0038763,0.25081,-0.013917,-0.19612,-0.020549,6
0.012908,-0.0071834,-0.023496,0.018426,0.0072668,-0.0007832,0.0038722,0.00162,0.24833,-0.0030198,-0.19961,-0.020756,6
0.037335,-0.0045539,-0.028377,0.032802,0.0064551,-0.00077796,-0.018535,0.0035421,0.24927,-0.014846,-0.20338,-0.020753,6
0.020575,-0.0059643,-0.025101,0.029339,0.0048151,-0.00077527,-0.021443,0.0027027,0.25035,-0.0093687,-0.20092,-0.020669,6
0.020575,-0.0038354,-0.025041,0.020385,0.0080566,-0.00078247,-0.021485,0.0039818,0.24949,-0.0035877,-0.19785,-0.020731,6
0.011571,-0.007046,-0.027168,0.033221,0.0083624,-0.00078013,0.002872,0.0018429,0.25349,-0.014675,-0.19855,-0.020678,6
0.011571,-0.0087649,-0.027613,0.030062,0.0062159,-0.00077058,0.0028649,0.0034851,0.25171,-0.010997,-0.20584,-0.020643,6
0.011569,-0.012034,-0.01883,0.018053,0.002012,-0.00079487,0.0028281,0.0063047,0.24634,-0.002578,-0.19604,-0.020919,6
0.054063,-0.0036976,-0.026994,0.034174,0.0045453,-0.00075624,-0.030835,0.0034263,0.25337,-0.013227,-0.20402,-0.02041,6
0.05448,-0.0068943,-0.026616,0.012676,0.0047051,-0.00077536,-0.030683,0.0051913,0.24973,-0.00011775,-0.20106,-0.020688,6
0.011569,-0.011699,-0.027762,0.019354,0.0088846,-0.00076077,0.002826,0.0036616,0.25182,-0.002237,-0.20921,-0.020569,6
0.02911,-0.010628,-0.026765,0.017665,0.0049023,-0.00078523,-0.008769,0.0045956,0.24908,-0.0027498,-0.20727,-0.020943,6
0.020576,-0.0036831,-0.023182,0.014817,0.0060648,-0.00077602,-0.021332,0.0054846,0.25006,-0.0019876,-0.20088,-0.020665,6
0.051239,-0.0077712,-0.022042,0.020084,0.002639,-0.00076105,-0.029407,0.0052332,0.24997,-0.0038475,-0.20103,-0.020438,6
0.015193,-0.011597,-0.024439,0.019961,0.0027408,-0.00076222,-0.0082033,0.0064814,0.24602,-0.0019944,-0.20137,-0.020457,6
0.029106,-0.006046,-0.030576,0.036835,0.0083762,-0.00078686,-0.0087867,0.0020129,0.25393,-0.014574,-0.20004,-0.020815,6
0.031217,-0.0085447,-0.026429,0.015231,0.0043229,-0.0007634,-0.012311,0.007188,0.2479,-2.23E-05,-0.20259,-0.020504,6
0.0044174,-0.0055377,-0.026132,0.016813,0.0061209,-0.00077484,-0.0090536,0.0047031,0.24997,-0.0014108,-0.20204,-0.020651,6
0.011569,-0.010897,-0.028236,0.015659,0.0061221,-0.00078369,0.0028439,0.0053561,0.24902,-0.00046115,-0.20419,-0.02085,6
0.051245,-0.013475,-0.023935,0.017737,0.0085033,-0.00078956,-0.029302,0.008297,0.24684,-0.0024246,-0.20044,-0.02088,6
0.051247,-0.0064586,-0.016317,0.016656,0.0076456,-0.00077536,-0.029278,0.0063563,0.24534,-0.014135,-0.19657,-0.020561,6
0.015196,-0.0061242,-0.022811,0.016849,-0.0041966,-0.00079238,-0.0080826,0.0043408,0.25035,-0.0014144,-0.20142,-0.020968,6
0.05406,-0.0058345,-0.022685,0.021213,0.0021078,-0.00079019,-0.030803,0.0041565,0.24889,-0.0061556,-0.19948,-0.020898,6
